,Input nodes,Output nodes,Train MSE,Test MSE
0,[1655 1214 1667 2676   55],[2274 1434 2534  115 1946],0.38010061531526046,0.6919357687728379
1,[1655 1214 1667 2676   55],[ 748 1700  705 1414 2874],0.3477310911386594,0.6477761841148675
2,[1655 1214 1667 2676   55],[ 974  986 2560 2849  119],0.2928161927384664,0.6040456553585937
3,[1655 1214 1667 2676   55],[1983  920  427  754 1937],0.3141200141509136,0.7145996812906248
4,[1655 1214 1667 2676   55],[1022  941 1700 2686 1183],0.32815759815033824,0.6323420319448974
5,[1655 1214 1667 2676   55],[1653 2276  704 2022 1946],0.37397487687609554,0.6067009318968939
6,[1655 1214 1667 2676   55],[1882 1933  758    0 1549],0.38980601498807727,0.6858219345555613
7,[1655 1214 1667 2676   55],[ 190  267 2924 2436 2128],0.3141854577078708,0.502624199960244
8,[1655 1214 1667 2676   55],[1421 2399 2320 1900 2103],0.41735186590206846,0.48845796563812566
9,[1655 1214 1667 2676   55],[ 347  398 2678 1168  473],0.340864522384536,0.6604478195253101
10,[1655 1214 1667 2676   55],[2152  132 1912 1883  660],0.42094533910520365,0.5214099904796279
11,[1655 1214 1667 2676   55],[2671 1177 2508  679  301],0.29345488807491565,0.5418272818198077
12,[1655 1214 1667 2676   55],[2175 1759 2878  773 1699],0.34544217452405857,0.4903620492016785
13,[1655 1214 1667 2676   55],[ 868 2435 1651 1476  956],0.30453217711235153,0.5064139862290488
14,[1655 1214 1667 2676   55],[2201 2482 2866  966 2529],0.2627797663467296,0.660315199207309
15,[1655 1214 1667 2676   55],[ 556 1895 2161 2379 2835],0.3681595841483706,0.4891431868475099
16,[1655 1214 1667 2676   55],[2703 1350  404  115 1062],0.33586690014593373,0.8013423014743132
17,[1655 1214 1667 2676   55],[2447 2938 1132 2173  328],0.29497484441393323,0.6055437402006287
18,[1655 1214 1667 2676   55],[2334 2746 1754 2557 1349],0.4187532963622592,0.6146154250545328
19,[1655 1214 1667 2676   55],[1315 2437 2303 2649 1888],0.3456279303101383,0.6757455196972901
20,[1655 1214 1667 2676   55],[2566 1291 1546 1287 2581],0.3170641645199029,0.6351591150851367
21,[1655 1214 1667 2676   55],[ 260 2613 1017 1477 2402],0.33594196485511324,0.9354342232064243
22,[1655 1214 1667 2676   55],[2828 2468 2750  746 1492],0.3062210409459294,0.586497011546757
23,[1655 1214 1667 2676   55],[1312 1963 2618 1984 1832],0.3835721777029251,0.475376500256367
24,[1655 1214 1667 2676   55],[ 641 1538  141 1252 1024],0.32902856448645457,0.6530324083291001
25,[1655 1214 1667 2676   55],[2873 2649 2190  870  619],0.42023907426630147,0.4912401090382801
26,[1655 1214 1667 2676   55],[ 913 1714   61 1113  420],0.3347321141602484,0.6633985505975881
27,[1655 1214 1667 2676   55],[1022 1713 2758 1155 1212],0.3196884916777382,0.5643462716421236
28,[1655 1214 1667 2676   55],[ 441 1669 2032  180 2498],0.36200821736754213,0.8411624513152965
29,[1655 1214 1667 2676   55],[1710   77  637  671 1648],0.34963619256191997,0.6148575647104448
30,[1655 1214 1667 2676   55],[1407 1679 2942 1723 2338],0.3019473270165285,0.7155068913182132
31,[1655 1214 1667 2676   55],[2612 2048 2131  718  396],0.40055624301054343,0.5567839086524095
