,axon_input,dendrite_input
29,109.0,94.0
37365,1.0,0.0
40045,39.0,0.0
40152,7.0,0.0
677717,56.0,44.0
766246,0.0,0.0
858479,29.0,42.0
865151,21.0,82.0
867393,34.0,155.0
869360,43.0,55.0
891237,7.0,0.0
900032,0.0,0.0
902038,0.0,0.0
902877,0.0,0.0
945309,14.0,0.0
946481,0.0,0.0
992646,31.0,97.0
1011675,14.0,0.0
1042538,262.0,293.0
1065967,21.0,67.0
1137946,23.0,92.0
1141813,7.0,37.0
1347886,37.0,0.0
1351125,24.0,0.0
1367171,1.0,0.0
1375101,13.0,0.0
1377586,2.0,0.0
1391179,8.0,0.0
1392771,7.0,0.0
1395971,7.0,0.0
1398253,13.0,0.0
1400725,3.0,0.0
1405493,12.0,0.0
1406463,4.0,0.0
1414206,15.0,0.0
1415168,34.0,0.0
1419315,16.0,0.0
1427012,3.0,0.0
1428271,7.0,0.0
1429969,15.0,0.0
1431256,14.0,0.0
1432836,11.0,0.0
1435466,19.0,0.0
1591270,41.0,65.0
1591351,161.0,423.0
1622901,33.0,147.0
1646076,34.0,98.0
1678567,20.0,389.0
1679034,11.0,16.0
1690576,222.0,392.0
1706716,3.0,0.0
1709802,6.0,0.0
1715990,16.0,0.0
1805406,7.0,64.0
1805418,36.0,66.0
1805669,19.0,73.0
1856512,0.0,0.0
1868538,25.0,124.0
1869592,19.0,66.0
1924051,13.0,74.0
1961182,16.0,52.0
1980134,18.0,133.0
2123422,20.0,209.0
2138427,2.0,48.0
2142817,29.0,92.0
2200028,1.0,0.0
2204467,6.0,52.0
2206279,0.0,0.0
2209091,0.0,0.0
2215247,1.0,0.0
2215447,0.0,0.0
2215622,0.0,0.0
2216131,0.0,0.0
2216187,1.0,0.0
2216445,0.0,0.0
2260755,1.0,55.0
2283495,3.0,131.0
2284021,30.0,0.0
2340336,13.0,0.0
2355126,5.0,76.0
2357110,1.0,110.0
2369444,116.0,376.0
2379529,10.0,42.0
2379544,8.0,40.0
2432564,30.0,131.0
2438653,22.0,87.0
2439067,45.0,223.0
2439134,62.0,137.0
2439150,8.0,59.0
2456826,13.0,0.0
2504517,17.0,41.0
2505266,5.0,45.0
2506050,298.0,190.0
2511238,160.0,170.0
2512602,0.0,50.0
2532841,0.0,0.0
2544902,1.0,0.0
2552701,0.0,0.0
2557644,31.0,26.0
2568465,48.0,326.0
2568522,38.0,105.0
2571761,67.0,0.0
2582391,39.0,0.0
2584838,24.0,0.0
2597151,13.0,142.0
2608843,53.0,0.0
2610744,26.0,0.0
2611805,38.0,0.0
2612527,31.0,407.0
2619565,141.0,168.0
2628785,54.0,112.0
2648254,23.0,88.0
2650887,86.0,165.0
2652641,14.0,13.0
2655798,18.0,75.0
2659386,1.0,68.0
2659504,32.0,51.0
2663649,0.0,92.0
2667061,29.0,160.0
2667980,17.0,46.0
2669331,13.0,47.0
2669844,7.0,168.0
2670619,10.0,37.0
2772093,25.0,130.0
2775707,21.0,57.0
2775943,6.0,50.0
2776773,35.0,73.0
2784471,18.0,207.0
2797480,22.0,96.0
2816457,154.0,159.0
2842451,11.0,44.0
2846555,9.0,96.0
2852273,2.0,81.0
2854715,25.0,175.0
2878185,8.0,60.0
2881070,43.0,68.0
2885630,16.0,92.0
2910892,10.0,37.0
2911847,22.0,243.0
2914206,46.0,98.0
2920061,25.0,94.0
2920554,16.0,231.0
2921933,56.0,74.0
2932028,26.0,140.0
2935173,14.0,136.0
2935198,12.0,124.0
2963280,26.0,201.0
2964760,7.0,30.0
2966602,73.0,326.0
2979486,31.0,62.0
2979675,20.0,97.0
2988292,19.0,110.0
3002410,16.0,84.0
3009700,18.0,215.0
3010486,14.0,125.0
3021609,117.0,126.0
3027876,42.0,437.0
3032520,13.0,0.0
3036249,11.0,0.0
3043970,54.0,39.0
3044500,64.0,275.0
3046503,0.0,98.0
3048606,30.0,125.0
3050645,19.0,0.0
3054101,9.0,0.0
3058132,22.0,39.0
3060480,12.0,156.0
3061422,21.0,81.0
3071301,12.0,0.0
3093284,99.0,235.0
3122533,10.0,47.0
3123905,4.0,0.0
3149791,85.0,150.0
3157405,78.0,175.0
3158085,24.0,164.0
3158123,36.0,137.0
3158543,32.0,0.0
3163105,49.0,105.0
3166745,26.0,59.0
3166836,5.0,67.0
3167039,19.0,92.0
3180681,4.0,70.0
3182103,21.0,147.0
3192952,2.0,0.0
3199456,14.0,0.0
3220616,19.0,123.0
3232277,8.0,38.0
3232808,32.0,47.0
3234817,349.0,615.0
3235409,22.0,213.0
3251140,20.0,79.0
3267019,5.0,0.0
3272218,21.0,111.0
3276003,18.0,204.0
3281684,0.0,76.0
3299214,78.0,504.0
3347708,205.0,38.0
3347834,97.0,30.0
3410499,59.0,0.0
3410506,44.0,0.0
3414508,90.0,117.0
