,axon_output,dendrite_output
29,190.0,28.0
37365,51.0,0.0
40045,329.0,0.0
40152,154.0,0.0
677717,56.0,11.0
766246,82.0,0.0
858479,102.0,0.0
865151,153.0,162.0
867393,224.0,6.0
869360,243.0,4.0
891237,101.0,0.0
900032,38.0,0.0
902038,45.0,0.0
902877,59.0,0.0
945309,64.0,0.0
946481,47.0,0.0
992646,280.0,0.0
1011675,170.0,0.0
1042538,768.0,2.0
1065967,206.0,0.0
1137946,225.0,72.0
1141813,104.0,0.0
1347886,745.0,0.0
1351125,97.0,0.0
1367171,108.0,0.0
1375101,229.0,0.0
1377586,99.0,0.0
1391179,101.0,0.0
1392771,135.0,0.0
1395971,160.0,0.0
1398253,137.0,0.0
1400725,90.0,0.0
1405493,133.0,0.0
1406463,59.0,0.0
1414206,167.0,0.0
1415168,34.0,0.0
1419315,104.0,0.0
1427012,27.0,0.0
1428271,79.0,0.0
1429969,67.0,0.0
1431256,13.0,0.0
1432836,68.0,0.0
1435466,87.0,0.0
1591270,369.0,11.0
1591351,563.0,2.0
1622901,247.0,48.0
1646076,226.0,2.0
1678567,279.0,2.0
1679034,116.0,0.0
1690576,613.0,0.0
1706716,139.0,0.0
1709802,98.0,0.0
1715990,190.0,0.0
1805406,109.0,7.0
1805418,190.0,1.0
1805669,116.0,0.0
1856512,51.0,0.0
1868538,278.0,64.0
1869592,203.0,0.0
1924051,169.0,12.0
1961182,177.0,2.0
1980134,301.0,0.0
2123422,167.0,101.0
2138427,13.0,0.0
2142817,228.0,1.0
2200028,69.0,0.0
2204467,35.0,0.0
2206279,55.0,0.0
2209091,59.0,0.0
2215247,34.0,0.0
2215447,46.0,0.0
2215622,35.0,0.0
2216131,45.0,0.0
2216187,84.0,0.0
2216445,73.0,0.0
2260755,9.0,1.0
2283495,14.0,2.0
2284021,438.0,0.0
2340336,375.0,0.0
2355126,18.0,0.0
2357110,8.0,0.0
2369444,613.0,2.0
2379529,95.0,14.0
2379544,122.0,2.0
2432564,125.0,63.0
2438653,318.0,0.0
2439067,335.0,0.0
2439134,267.0,0.0
2439150,161.0,0.0
2456826,327.0,0.0
2504517,154.0,9.0
2505266,114.0,0.0
2506050,404.0,0.0
2511238,421.0,0.0
2512602,0.0,0.0
2532841,53.0,0.0
2544902,48.0,0.0
